1932/1933,"Charles Bryant Lang, Jr."
1932/1933,George J. Folsey [Second]
1932/1933,Karl Struss [Third]
1932/1933,Frank Lloyd
1932/1933,Frank Capra [Second]
1932/1933,George Cukor [Third]
1932/1933,Fox
1932/1933,Paramount [Second]
1932/1933,Warner Brothers
1932/1933,Columbia
1932/1933,RKO Radio [Third]
1932/1933,London Films
1932/1933,Paramount
1932/1933,Metro-Goldwyn-Mayer
1932/1933,"Walt Disney, Producer [Second]"
1932/1933,"Walter Lantz, Producer [Third]"
1932/1933,"Walt Disney, Producer"
1932/1933,"Warren Doane, Producer [Third]"
1932/1933,"Louis Brock, Producer [Second]"
1932/1933,"Louis Brock, Producer"
1932/1933,"Joe Rock, Producer"
1932/1933,"Pete Smith, Producer [tied for 2nd]"
1932/1933,Educational [tied for 2nd]
1932/1933,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
1932/1933,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director"
1932/1933,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Third]"
1932/1933,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Second]"
1932/1933,Robert Riskin [Second]
1932/1933,"Victor Heerman, Sarah Y. Mason"
1932/1933,"Paul Green, Sonya Levien [Third]"
1932/1933,Robert Lord
1932/1933,Frances Marion [Second]
1932/1933,Charles MacArthur [Third]
1934,It Happened One Night
1934,The Affairs of Cellini
1934,The Thin Man
1934,Of Human Bondage
1934,One Night of Love
1934,The Barretts of Wimpole Street
1934,Richard Day [Third]
1934,"Van Nest Polglase, Carroll Clark [Second]"
1934,"Cedric Gibbons, Fredric Hope"
1934,Cullen Tate [Second]
1934,Scott Beal [Third]
1934,John Waters
1934,Charles Rosher [Third]
1934,Victor Milner
1934,George Folsey [Second]
1934,Frank Capra
1934,Victor Schertzinger [Third]
1934,W. S. Van Dyke [Second]
1934,Anne Bauchens [Third]
1934,Conrad Nervig
1934,Gene Milford [Second]
1934,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein) [Second]"
1934,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner) [Third]"
1934,"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)"
1934,Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn [Third]
1934,Music by Con Conrad; Lyrics by Herb Magidson
1934,Music by Ralph Rainger; Lyrics by Leo Robin [Second]
1934,Metro-Goldwyn-Mayer [Second]
1934,Paramount
1934,First National
1934,RKO Radio
1934,Warner Brothers
1934,20th Century [Third]
1934,Universal
1934,Columbia
1934,Metro-Goldwyn-Mayer
1934,Jesse L. Lasky (production company)
1934,"Charles Mintz, Producer [Third]"
1934,"Walter Lantz, Producer [Second]"
1934,"Walt Disney, Producer"
1934,"Kenneth Macgowan, Producer"
1934,"Jules White, Producer [Third]"
1934,Warner Brothers [Second]
1934,Skibo Productions [Third]
1934,"Stacy Woodard and Horace Woodard, Producers"
1934,"Pete Smith, Producer [Second]"
1934,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1934,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
1934,"Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]"
1934,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director [Third]"
1934,"Universal Studio Sound Department, Theodore Soderberg, Sound Director"
1934,"Columbia Studio Sound Department, John Livadary, Sound Director"
1934,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
