1928/1929,Outstanding Picture,1,Metro-Goldwyn-Mayer
1928/1929,Outstanding Picture,,Metro-Goldwyn-Mayer
1928/1929,Outstanding Picture,,Paramount Famous Lasky
1928/1929,Writing,,Tom Barry
1928/1929,Writing,,Elliott Clawson
1928/1929,Writing,,Hans Kraly
1928/1929,Writing,1,Hans Kraly
1928/1929,Writing,,Josephine Lovett
1928/1929,Writing,,Bess Meredyth
1929/1930,Actor,1,George Arliss
1929/1930,Actor,,George Arliss
1929/1930,Actor,,Wallace Beery
1929/1930,Actor,,Maurice Chevalier
1929/1930,Actor,,Ronald Colman
1929/1930,Actor,,Lawrence Tibbett
1929/1930,Actress,,Nancy Carroll
1929/1930,Actress,,Ruth Chatterton
1929/1930,Actress,,Greta Garbo
1929/1930,Actress,1,Norma Shearer
1929/1930,Actress,,Norma Shearer
1929/1930,Actress,,Gloria Swanson
1929/1930,Art Direction,,Bulldog Drummond 
1929/1930,Art Direction,1,King of Jazz 
1929/1930,Art Direction,,The Love Parade 
1929/1930,Art Direction,,Sally 
1929/1930,Art Direction,,The Vagabond King 
1929/1930,Cinematography,,All Quiet on the Western Front 
1929/1930,Cinematography,,Anna Christie 
1929/1930,Cinematography,,Hell's Angels 
1929/1930,Cinematography,,The Love Parade 
1929/1930,Cinematography,1,With Byrd at the South Pole 
1929/1930,Directing,,Clarence Brown
1929/1930,Directing,,Robert Leonard
1929/1930,Directing,,Ernst Lubitsch
1929/1930,Directing,1,Lewis Milestone
1929/1930,Directing,,King Vidor
1929/1930,Outstanding Production,1,All Quiet on the Western Front 
1929/1930,Outstanding Production,,The Big House 
1929/1930,Outstanding Production,,Disraeli 
1929/1930,Outstanding Production,,The Divorcee 
1929/1930,Outstanding Production,,The Love Parade 
1929/1930,Sound Recording,1,The Big House 
1929/1930,Sound Recording,,The Case of Sergeant Grischa 
1929/1930,Sound Recording,,The Love Parade 
1929/1930,Sound Recording,,Raffles 
1929/1930,Sound Recording,,Song of the Flame 
1929/1930,Writing,,All Quiet on the Western Front 
1929/1930,Writing,1,The Big House 
1929/1930,Writing,,Disraeli 
1929/1930,Writing,,The Divorcee 
1929/1930,Writing,,Street of Chance 
1930/1931,Actor,1,Lionel Barrymore
1930/1931,Actor,,Jackie Cooper
1930/1931,Actor,,Richard Dix
1930/1931,Actor,,Fredric March
1930/1931,Actor,,Adolphe Menjou
1930/1931,Actress,,Marlene Dietrich
1930/1931,Actress,1,Marie Dressler
1930/1931,Actress,,Irene Dunne
1930/1931,Actress,,Ann Harding
1930/1931,Actress,,Norma Shearer
1930/1931,Art Direction,1,Cimarron 
1930/1931,Art Direction,,Just Imagine 
1930/1931,Art Direction,,Morocco 
1930/1931,Art Direction,,Svengali 
1930/1931,Art Direction,,Whoopee! 
1930/1931,Cinematography,,Cimarron 
1930/1931,Cinematography,,Morocco 
1930/1931,Cinematography,,The Right to Love 
1930/1931,Cinematography,,Svengali 
1930/1931,Cinematography,1,Tabu 
1930/1931,Directing,,Cimarron 
1930/1931,Directing,,A Free Soul 
1930/1931,Directing,,The Front Page 
1930/1931,Directing,,Morocco 
1930/1931,Directing,1,Skippy 
1930/1931,Outstanding Production,1,Cimarron 
1930/1931,Outstanding Production,,East Lynne 
1930/1931,Outstanding Production,,The Front Page 
1930/1931,Outstanding Production,,Skippy 
1930/1931,Outstanding Production,,Trader Horn 
1930/1931,Sound Recording,,Samuel Goldwyn - United Artists Studio Sound Department
1930/1931,Sound Recording,,Metro-Goldwyn-Mayer Studio Sound Department
1930/1931,Sound Recording,1,Paramount Publix Studio Sound Department
1930/1931,Sound Recording,,RKO Radio Studio Sound Department
1930/1931,Writing (Adaptation),1,Cimarron 
1930/1931,Writing (Adaptation),,The Criminal Code 
1930/1931,Writing (Adaptation),,Holiday 
1930/1931,Writing (Adaptation),,Little Caesar 
1930/1931,Writing (Adaptation),,Skippy 
1930/1931,Writing (Original Story),1,The Dawn Patrol 
1930/1931,Writing (Original Story),,The Doorway to Hell 
1930/1931,Writing (Original Story),,Laughter 
1930/1931,Writing (Original Story),,The Public Enemy 
1930/1931,Writing (Original Story),,Smart Money 
1931/1932,Actor,1,Wallace Beery
1931/1932,Actor,,Alfred Lunt
1931/1932,Actor,1,Fredric March
1931/1932,Actress,,Marie Dressler
1931/1932,Actress,,Lynn Fontanne
